name,short,sex,country 1,country 2,line of succession,interest 1,interest 2,interest 3,interest 4,religion,type,royalhouse
Royal Air Force Coningsby,rafc,,british,,,armed services,,,,,1,
Scotland Royal Naval Command,srnc,,british,,,armed services,,,,,1,
Submarines Royal Naval Command,surnc,,british,,,armed services,,,,,1,
Royal College of Physicians ans Surgeons of Glasgow,rcopasog,,british,,,healthcare medical and hospices,,,,,1,
The Royal Marsden NHS Foundation Trust,trmnhsft,,british,,,healthcare medical and hospices,,,,,1,
Duchess Catherine,DCA,female,british,,,healthcare medical and hospices,sport and recreation,children and young people,arts and culture,anglican,0,british
100 Women in Finance,100wif,,british,,,healthcare medical and hospices,,,,,1,
Action for Children,afch,,british,,,healthcare medical and hospices,,,,,1,
Anna Freud National Centre for Children and Families,afncfcaf,,british,,,children and young people,,,,,1,
Place2Be,p2b,,british,,,children and young people,,,,,1,
SportsAid,sa,,british,,,sport and recreation,children and young people,,,,1,
Action on Addiction,aoa,,british,,,children and young people,,,,,1,
East Anglias Childrens Hospital,each,,british,,,healthcare medical and hospices,,,,,1,
Nursing Now campaign,nnc,,international,,,healthcare medical and hospices,,,,,1,
The 1851 Trust,t1851t,,british,,,sport and recreation,,,,,1,
The Lawn Tennis Association,tlta,,british,,,sport and recreation,,,,,1,
National Portrait Gallery,npg,,british,,,arts and culture,,,,,1,
Natural History Museum,nhm,,british,,,arts and culture,,,,,1,
The Victoria and Albert Museum,tvam,,british,,,arts and culture,,,,,1,
Castaways Club,casc,,british,,,armed services,,,,,1,
The FARA Foundation,faraf,,european,,,community and civic,,,,,1,
The Foundation of the College of St George,focsg,,british,,,history and heritage,community and civic,,,,1,
The Georgian Theatre Royal,tgtr,,british,,,history and heritage,,,,,1,
The Gloucestershire Warwickshire Railway Trust,tgwrt,,british,,,history and heritage,,,,,1,
The Royal Automobile Club UK,tracuk,,british,,,sport and recreation,,,,,1,
The Royal Swedish Yacht Club,trsyc,,swedish,,,sport and recreation,,,,,1,
